job_title,job_description
SURFACE MAINTENANCE MECHANIC INSPECTOR (T32),"This National Guard position is for a SURFACE MAINTENANCE MECHANIC INSPECTOR (T32), Position Description Number D1285000 and is part of the AL FMS 8, National Guard. EXCEPTED POSITION: Alabama Army National Guard membership required.
POSITION STATUS: NON-MERIT
LOCATION: FMS #8, GADSDEN, AL
SELECTING OFFICIAL: CW4 B. STOCKS"
Social Worker (HUD-VASH),"Housing and Urban Development - VA Supported Housing (HUD-VASH) is an intensive case management program for chronically homeless veterans aimed at providing psychosocial services to veterans while residing in stable housing through HUD's Section 8 voucher system. The social worker functions as a case manager for the HUD-VASH program within the Mental Health Services Care line at the Eastern Colorado Health Care System in Denver, Colorado."
SUPERVISORY CIVIL ENGINEER,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SUPERVISORY CIVIL ENGINEER, Position Description Number D2226000 and is part of the PA 201st RED HORSE Squadron, National Guard. 1 or more Position(s) may be hired against this Announcement. Commissioning Opportunity. Position may lead to permanent assignment without further advertisement. Re-Advertisement of Technician Vacancy Announcement #18-223"
MANAGEMENT ANALYST,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a MANAGEMENT ANALYST, Position Description Number D1379000 and is part of the PA 193rd Special Operations Wing, National Guard. 1 or more Position(s) may be hired against this Announcement. Position may lead to permanent assignment without further advertisement. Recruitment and/or Relocation Incentive May Be Authorized."
ADMINISTRATIVE SPECIALIST,"You will serve as an Administrative Specialist overseeing the administrative functions of the International Programs and Engagement Office, Director of Naval Intelligence All Defense Intelligence positions under the Defense Civilian Intelligence Personnel System (DCIPS) are in the excepted service by specific statute, 10 U.S.C. 1601. This position is in the excepted service and does not confer competitive status."
Primary Care Physician (Open Continuous),The Primary Care Physician will be a member of the Patient Aligned Care Team of the Battle Creek VA Medical Center serving our Community Based Outpatient Center Veteran population. Recruitment and Relocation Incentives as well as student loan repayment may be authorized for highly qualified applicants. This Open Continuous Announcement is a for full-time Primary Care Physicians to work in the Community Based Outpatient Centers.
SURFACE MAINTENANCE MECHANIC,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SURFACE MAINTENANCE MECHANIC, Position Description Number D1195000 and is part of the ID 204 RTI, National Guard. OPEN TO CURRENT ONBOARD INDEFINITE AND PERMANENT TECHNICIANS ASSIGNED TO THE RTI MAINTENANCE IN THE IDAHO ARMY NATIONAL GUAIRD CURRENT TECHNICIAN'S TENURE WILL TRANSFER WITH MEMBER TO THIS POSITION"
Operations Research Analyst,"About the Position: You will serve as an Operations Research Analyst within the Mission Command Capability Development Integration Directorate (MC-CDID), working with military and civilian personnel engaged in concepts development, requirements determination, and experimentation. Supports the design of experiments for the analysis of force capabilities, researches and evaluates model development, and the development of analytical tools to enhance force modernization and integration."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
SUPERVISORY IT PROGRAM MANAGER (NETWORK),This position is part of the Defense Threat Reduction Agency.
SHEET METAL MECHANIC (AIRCRAFT/PAINTER),"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to plan, lay out, fabricate, modify, repair, assemble, and install complex aircraft, AGE and associated equipment sheet metal, plastic, fiberglass, and honeycomb parts, items, and assemblies that have combined straight and curved edges or irregular curves and planes."
SUPERVISORY IT PROGRAM MANAGER (NETWORK),This position is part of the Defense Threat Reduction Agency.
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Gardener,"**The closing date of this announcement has been extended until June 27, 2019.** These positions are permanent full-time located in San Francisco Maritime National Historical Park, in the Facilities Management Division. Please visit find a park for additional park information. These positions is concurrently open to current Merit Promotion applicants under Announcement Number PW-1549-SAFR-19-1051869-MP, to be considered under the Merit Promotion announcement, you must to apply separately."
Gardener,"**The closing date of this announcement has been extended to June 27, 2019.** These are permanent Full-Time positions, located in San Francisco Maritime National Historical Park, in the Facilities Management Division. Please visit find a park for additional park information. This position is concurrently open to all U.S. citizens under Announcement Number PW-1549-SAFR-19-10518236-DE. To be considered under the delegated examining (DE) announcement you must apply separately."
Utility Systems Operator,"Applications will be accepted from current and former competitive service Federal employees, and people eligible under special hiring authorities. Please note that this announcement is not open to the general public."
Supervisory Medical Record Administrators (Chief HIMS),"The incumbent serves as the Chief, Health Information Management Section at Harry S. Truman Veterans Memorial Hospital Healthcare System. The Truman Veterans' Hospital and Clinics is a facility/health care system with comprehensive research programs at the highest complexity level category for VHA facilities and is affiliated with the Missouri University."
